Property ID,BHK,Bathrooms,Area,Furnished Status,Lawn,Lift,Swimming Pool,Gym,Car Parking,Fresh Water Supply,Regular Electricity,Price,Price per sq. ft.
PROP-9025,3,3,2204,Unfurnished,No,Yes,No,Yes,Open,Yes,Yes,16278744,7386
PROP-9026,3,4,1852,Semi-Furnished,Yes,Yes,No,No,Covered,Yes,No,12971408,7004
PROP-9027,3,4,1620,Semi-Furnished,Yes,Yes,No,Yes,Covered,Yes,Yes,14429340,8907
PROP-9028,1,2,595,Semi-Furnished,No,Yes,Yes,Yes,,Yes,Yes,6752060,11348
PROP-9029,3,4,2169,Unfurnished,No,Yes,Yes,Yes,Open,Yes,Yes,23256018,10722
PROP-9030,4,5,4646,Semi-Furnished,Yes,Yes,No,Yes,Private Garage,Yes,Yes,59055306,12711
PROP-9031,1,1,624,Fully Furnished,No,Yes,No,No,Open,Yes,Yes,7210320,11555
PROP-9032,1,1,726,Semi-Furnished,No,Yes,No,No,Open,Yes,Yes,6126714,8439
PROP-9033,5,5,7457,Unfurnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,79692959,10687
PROP-9034,4,4,3574,Unfurnished,Yes,Yes,Yes,Yes,Private Garage,Yes,No,37008770,10355
PROP-9035,3,4,2077,Fully Furnished,No,Yes,No,No,Covered,Yes,No,15415494,7422
PROP-9036,5,6,7159,Semi-Furnished,Yes,Yes,No,No,Covered,No,Yes,73286683,10237
PROP-9037,2,2,1380,Fully Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,13677180,9911
PROP-9038,3,3,2334,Fully Furnished,No,Yes,No,No,Open,Yes,Yes,22182336,9504
PROP-9039,3,4,1689,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,14885157,8813
PROP-9040,3,3,1894,Fully Furnished,Yes,No,No,No,Covered,Yes,Yes,25305734,13361
PROP-9041,4,5,4701,Unfurnished,Yes,Yes,No,No,Private Garage,Yes,Yes,58226586,12386
PROP-9042,2,3,1402,Semi-Furnished,No,Yes,No,Yes,Open,Yes,Yes,10827646,7723
PROP-9043,1,1,511,Unfurnished,No,Yes,No,No,Open,Yes,Yes,5542817,10847
PROP-9044,4,4,4240,Unfurnished,Yes,Yes,No,No,Private Garage,Yes,Yes,55005520,12973
PROP-9045,2,2,1033,Fully Furnished,Yes,Yes,Yes,Yes,Covered,Yes,No,12287535,11895
PROP-9046,3,4,2232,Fully Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,22581144,10117
PROP-9047,2,3,936,Unfurnished,No,Yes,No,Yes,Covered,Yes,Yes,10315656,11021
PROP-9048,2,3,1330,Fully Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,16648940,12518
PROP-9049,3,4,2355,Fully Furnished,Yes,Yes,No,No,Covered,Yes,Yes,25332735,10757
PROP-9050,3,4,1828,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,20113484,11003
PROP-9051,3,3,1953,Semi-Furnished,No,Yes,Yes,Yes,Open,No,Yes,17987130,9210
PROP-9052,1,1,711,Semi-Furnished,No,No,No,No,Open,Yes,Yes,6796449,9559
PROP-9053,4,4,3027,Semi-Furnished,Yes,Yes,No,No,Covered,Yes,Yes,35891139,11857
PROP-9054,2,3,1028,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,10697368,10406
PROP-9055,3,4,1838,Semi-Furnished,Yes,Yes,No,No,Covered,Yes,Yes,21673696,11792
PROP-9056,3,3,1931,Fully Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,17647409,9139
PROP-9057,4,4,4129,Unfurnished,Yes,Yes,No,Yes,Private Garage,Yes,Yes,46570991,11279
PROP-9058,4,5,3076,Unfurnished,Yes,Yes,No,No,Covered,Yes,Yes,33703732,10957
PROP-9059,2,2,1017,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,10098810,9930
PROP-9060,2,3,1151,Semi-Furnished,No,No,Yes,Yes,Open,Yes,Yes,9466975,8225
PROP-9061,1,1,469,Unfurnished,No,Yes,Yes,Yes,Open,Yes,No,3152149,6721
PROP-9062,2,3,1242,Semi-Furnished,No,No,Yes,Yes,Open,Yes,Yes,12667158,10199
PROP-9063,3,3,1897,Unfurnished,No,Yes,Yes,Yes,Covered,Yes,Yes,18810652,9916
PROP-9064,3,4,2338,Semi-Furnished,No,No,No,No,Open,Yes,Yes,16164932,6914
PROP-9065,3,3,2061,Fully Furnished,No,No,Yes,Yes,Open,Yes,Yes,24328044,11804
PROP-9066,2,3,1165,Fully Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,14672010,12594
PROP-9067,2,3,1426,Unfurnished,No,Yes,Yes,Yes,Covered,Yes,Yes,14416860,10110
PROP-9068,2,3,1101,Semi-Furnished,No,Yes,Yes,Yes,Open,Yes,No,8910393,8093
PROP-9069,5,5,8117,Fully Furnished,Yes,Yes,No,Yes,Covered,Yes,Yes,79441079,9787
PROP-9070,3,4,2172,Fully Furnished,Yes,Yes,No,Yes,Open,Yes,Yes,23922408,11014
PROP-9071,3,4,2132,Unfurnished,No,Yes,No,Yes,Open,Yes,Yes,15970812,7491
PROP-9072,2,3,1229,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,11492379,9351
PROP-9073,2,2,1418,Fully Furnished,No,Yes,No,No,Covered,No,Yes,15080430,10635
PROP-9074,3,3,1850,Semi-Furnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,18191050,9833
PROP-9075,5,6,7737,Fully Furnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,86120547,11131
PROP-9076,3,4,1744,Unfurnished,Yes,Yes,No,Yes,Open,Yes,Yes,16622064,9531
PROP-9077,2,2,912,Fully Furnished,Yes,Yes,No,No,Covered,Yes,No,7267728,7969
PROP-9078,3,3,1873,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,19876276,10612
PROP-9079,4,4,4741,Semi-Furnished,Yes,Yes,No,No,Private Garage,Yes,Yes,59708154,12594
PROP-9080,3,3,2169,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,21188961,9769
PROP-9081,2,3,953,Unfurnished,No,Yes,Yes,Yes,Open,Yes,Yes,10901367,11439
PROP-9082,5,6,9284,Unfurnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,133281104,14356
PROP-9083,3,4,1914,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,16301538,8517
PROP-9084,2,2,1073,Fully Furnished,No,No,No,No,Covered,Yes,Yes,13626027,12699
PROP-9085,3,3,2529,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,21109563,8347
PROP-9086,3,3,2031,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,18366333,9043
PROP-9087,2,2,958,Semi-Furnished,Yes,Yes,No,No,Covered,Yes,Yes,9976612,10414
PROP-9088,3,3,2368,Unfurnished,No,Yes,No,No,Open,Yes,Yes,25998272,10979
PROP-9089,5,5,8436,Unfurnished,Yes,Yes,No,No,Covered,Yes,Yes,79585224,9434
PROP-9090,5,5,8257,Unfurnished,Yes,Yes,No,Yes,Covered,Yes,Yes,90620575,10975
PROP-9091,2,2,1113,Fully Furnished,No,Yes,No,No,Covered,Yes,Yes,11940264,10728
PROP-9092,2,2,1339,Unfurnished,No,Yes,No,No,Open,Yes,Yes,14091636,10524
PROP-9093,2,2,1045,Unfurnished,No,Yes,No,No,Open,Yes,Yes,8492715,8127
PROP-9094,4,4,3506,Unfurnished,Yes,Yes,No,Yes,Covered,Yes,Yes,38544964,10994
PROP-9095,5,6,9130,Fully Furnished,Yes,Yes,No,No,Covered,No,Yes,117904820,12914
PROP-9096,3,3,2416,Unfurnished,No,Yes,No,Yes,Open,Yes,Yes,20424864,8454
PROP-9097,5,6,5632,Fully Furnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,75046400,13325
PROP-9098,3,4,2031,Fully Furnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,22257729,10959
PROP-9099,3,3,1814,Unfurnished,No,Yes,No,Yes,Covered,Yes,Yes,18978068,10462
PROP-9100,1,1,690,Fully Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,8636730,12517
PROP-9101,4,4,3658,Fully Furnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,48633110,13295
PROP-9102,2,3,1212,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,10926180,9015
PROP-9103,1,1,506,Unfurnished,Yes,Yes,No,No,Open,Yes,Yes,4453812,8802
PROP-9104,3,4,2025,Fully Furnished,No,Yes,No,No,Covered,Yes,Yes,17876700,8828
PROP-9105,3,3,2567,Fully Furnished,No,Yes,No,No,Open,Yes,Yes,24342861,9483
PROP-9106,3,3,1706,Unfurnished,No,Yes,Yes,Yes,Covered,No,Yes,15722496,9216
PROP-9107,1,1,565,Unfurnished,No,Yes,Yes,Yes,Open,Yes,Yes,4571980,8092
PROP-9108,3,3,2007,Semi-Furnished,Yes,Yes,No,No,Covered,No,Yes,16914996,8428
PROP-9109,2,2,1009,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,9033577,8953
PROP-9110,3,3,1617,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,14651637,9061
PROP-9111,1,1,714,Semi-Furnished,No,Yes,Yes,Yes,Open,No,Yes,5719854,8011
PROP-9112,4,5,3943,Unfurnished,Yes,Yes,No,Yes,Covered,Yes,Yes,42261074,10718
PROP-9113,2,2,936,Semi-Furnished,No,No,No,No,Open,Yes,Yes,7122024,7609
PROP-9114,5,5,5756,Fully Furnished,Yes,Yes,No,No,Private Garage,Yes,Yes,82598600,14350
PROP-9115,4,5,3311,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,37377879,11289
PROP-9116,1,1,805,Semi-Furnished,No,Yes,Yes,Yes,,Yes,No,7204750,8950
PROP-9117,2,3,1409,Unfurnished,No,Yes,No,Yes,Covered,Yes,No,12425971,8819
PROP-9118,4,5,3443,Semi-Furnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,44060071,12797
PROP-9119,2,3,1285,Fully Furnished,No,Yes,No,No,Open,Yes,Yes,12144535,9451
PROP-9120,3,4,2016,Fully Furnished,No,Yes,No,No,Open,Yes,No,15803424,7839
PROP-9121,3,3,2130,Semi-Furnished,Yes,Yes,Yes,Yes,Open,Yes,Yes,19730190,9263
PROP-9122,3,3,2140,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,20957020,9793
PROP-9123,3,4,2499,Semi-Furnished,No,Yes,No,Yes,Covered,Yes,Yes,23035782,9218
PROP-9124,2,2,1262,Semi-Furnished,No,Yes,Yes,Yes,Covered,Yes,No,9616440,7620
PROP-9125,2,3,1058,Unfurnished,Yes,Yes,Yes,Yes,Open,Yes,Yes,10184308,9626
PROP-9126,1,2,502,Unfurnished,No,Yes,Yes,Yes,,Yes,Yes,4024534,8017
PROP-9127,5,6,6843,Fully Furnished,Yes,Yes,No,No,Private Garage,No,Yes,81698577,11939
PROP-9128,3,3,2197,Semi-Furnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,24632764,11212
PROP-9129,3,3,1724,Fully Furnished,No,Yes,No,No,Open,Yes,Yes,18943312,10988
PROP-9130,3,3,2305,Unfurnished,No,Yes,No,No,Open,Yes,No,13986740,6068
PROP-9131,2,3,1279,Fully Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,13434616,10504
PROP-9132,3,4,1607,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,14037145,8735
PROP-9133,2,2,1201,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,12248999,10199
PROP-9134,2,2,934,Semi-Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,9896664,10596
PROP-9135,2,2,1368,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,12827736,9377
PROP-9136,3,4,1756,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,20898156,11901
PROP-9137,3,3,1639,Unfurnished,No,Yes,No,No,Covered,No,Yes,17765121,10839
PROP-9138,1,1,653,Unfurnished,No,No,No,No,,Yes,Yes,4548145,6965
PROP-9139,2,3,1136,Fully Furnished,No,Yes,No,Yes,Covered,Yes,Yes,11803040,10390
PROP-9140,5,5,8428,Unfurnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,112867776,13392
PROP-9141,3,4,2177,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,19852063,9119
PROP-9142,3,4,1773,Semi-Furnished,No,Yes,No,No,Open,Yes,Yes,13451751,7587
PROP-9143,4,4,3946,Unfurnished,Yes,Yes,No,Yes,Private Garage,Yes,Yes,48433204,12274
PROP-9144,2,2,1177,Fully Furnished,Yes,Yes,No,Yes,Covered,Yes,Yes,11903001,10113
PROP-9145,1,1,568,Fully Furnished,Yes,Yes,Yes,Yes,Open,Yes,Yes,6120200,10775
PROP-9146,3,3,1627,Semi-Furnished,No,Yes,No,No,Open,Yes,No,13216121,8123
PROP-9147,4,4,4808,Semi-Furnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,56623816,11777
PROP-9148,5,6,9242,Unfurnished,Yes,Yes,Yes,Yes,Private Garage,Yes,No,88094744,9532
PROP-9149,1,1,511,Unfurnished,Yes,Yes,No,No,Open,Yes,Yes,4935749,9659
PROP-9150,5,5,8656,Fully Furnished,Yes,Yes,No,No,Private Garage,Yes,Yes,93995504,10859
PROP-9151,2,3,1154,Unfurnished,No,Yes,Yes,Yes,Covered,Yes,Yes,11214572,9718
PROP-9152,1,1,635,Unfurnished,No,Yes,Yes,Yes,,Yes,Yes,5375910,8466
PROP-9153,3,3,2113,Unfurnished,No,Yes,Yes,Yes,Covered,No,Yes,23150028,10956
PROP-9154,3,3,1604,Fully Furnished,Yes,Yes,Yes,Yes,Open,Yes,Yes,15919700,9925
PROP-9155,3,3,1724,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,17907188,10387
PROP-9156,4,5,3658,Unfurnished,Yes,Yes,No,No,Private Garage,Yes,Yes,43797234,11973
PROP-9157,2,3,930,Unfurnished,Yes,Yes,No,No,Open,Yes,Yes,9223740,9918
PROP-9158,5,5,5596,Unfurnished,Yes,No,No,Yes,Private Garage,Yes,Yes,74449184,13304
PROP-9159,3,3,2265,Fully Furnished,No,Yes,No,No,Covered,Yes,Yes,20371410,8994
PROP-9160,2,3,1348,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,13180744,9778
PROP-9161,2,2,1194,Fully Furnished,Yes,Yes,No,Yes,Covered,Yes,Yes,11553144,9676
PROP-9162,3,3,2371,Unfurnished,Yes,Yes,Yes,Yes,Open,Yes,Yes,25718237,10847
PROP-9163,2,2,1286,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,14615390,11365
PROP-9164,2,3,977,Unfurnished,Yes,Yes,No,No,Open,Yes,Yes,11458256,11728
PROP-9165,3,4,2471,Fully Furnished,No,Yes,No,Yes,Open,No,Yes,21243187,8597
PROP-9166,3,4,1851,Semi-Furnished,No,No,No,Yes,Covered,Yes,Yes,16001895,8645
PROP-9167,2,3,1421,Semi-Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,11099431,7811
PROP-9168,4,4,3703,Fully Furnished,Yes,No,No,No,Private Garage,Yes,Yes,41714295,11265
PROP-9169,2,3,1395,Unfurnished,No,Yes,Yes,Yes,Covered,Yes,Yes,16801380,12044
PROP-9170,4,5,3271,Semi-Furnished,Yes,Yes,No,Yes,Covered,Yes,Yes,40952920,12520
PROP-9171,4,4,4166,Semi-Furnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,38543832,9252
PROP-9172,2,2,974,Unfurnished,No,Yes,No,Yes,Covered,Yes,Yes,10358490,10635
PROP-9173,4,4,2913,Fully Furnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,34993869,12013
PROP-9174,4,4,3813,Semi-Furnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,47776890,12530
PROP-9175,4,5,4387,Fully Furnished,Yes,Yes,No,No,Private Garage,Yes,Yes,60878399,13877
PROP-9176,2,3,1266,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,13311990,10515
PROP-9177,2,3,1411,Semi-Furnished,Yes,Yes,No,No,Covered,Yes,Yes,13429898,9518
PROP-9178,3,3,1902,Unfurnished,No,Yes,No,No,Open,Yes,Yes,14272608,7504
PROP-9179,2,2,914,Semi-Furnished,No,Yes,No,Yes,Covered,Yes,Yes,10226746,11189
PROP-9180,2,2,1329,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,13437519,10111
PROP-9181,2,3,1327,Fully Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,16103145,12135
PROP-9182,3,3,2471,Semi-Furnished,No,Yes,No,Yes,Covered,Yes,Yes,18243393,7383
PROP-9183,3,4,2574,Fully Furnished,No,Yes,No,No,Open,Yes,Yes,21307572,8278
PROP-9184,3,4,2563,Fully Furnished,Yes,Yes,No,Yes,Open,Yes,Yes,26050332,10164
PROP-9185,1,2,808,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,9704080,12010
PROP-9186,3,3,1621,Unfurnished,No,Yes,No,No,Open,Yes,Yes,12689188,7828
PROP-9187,4,5,3812,Unfurnished,Yes,Yes,No,Yes,Covered,Yes,Yes,31494744,8262
PROP-9188,4,5,3258,Fully Furnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,45644580,14010
PROP-9189,3,4,1823,Fully Furnished,No,Yes,No,Yes,Covered,Yes,Yes,18725856,10272
PROP-9190,2,2,1435,Unfurnished,No,No,No,No,Open,Yes,Yes,12165930,8478
PROP-9191,2,2,1334,Fully Furnished,No,Yes,No,Yes,Covered,Yes,Yes,16808400,12600
PROP-9192,3,4,2500,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,28100000,11240
PROP-9193,2,2,1213,Fully Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,12402925,10225
PROP-9194,3,3,1789,Semi-Furnished,No,Yes,No,No,Open,Yes,Yes,12954149,7241
PROP-9195,4,5,4825,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,43777225,9073
PROP-9196,2,2,1365,Unfurnished,Yes,Yes,No,No,Covered,Yes,Yes,14990430,10982
PROP-9197,3,4,2174,Fully Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,23648772,10878
PROP-9198,3,4,1984,Fully Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,21962880,11070
PROP-9199,3,4,2116,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,15946176,7536
PROP-9200,3,3,1675,Unfurnished,No,Yes,Yes,Yes,Covered,Yes,Yes,18296025,10923
PROP-9201,1,1,757,Unfurnished,No,Yes,Yes,Yes,Open,Yes,Yes,8488998,11214
PROP-9202,1,2,452,Semi-Furnished,No,Yes,Yes,Yes,,Yes,Yes,3988448,8824
PROP-9203,2,3,1147,Unfurnished,No,Yes,No,Yes,Covered,Yes,Yes,11767073,10259
PROP-9204,1,2,632,Semi-Furnished,No,Yes,No,No,,Yes,No,4860712,7691
PROP-9205,3,4,2055,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,18160035,8837
PROP-9206,5,6,6304,Unfurnished,Yes,Yes,No,Yes,Covered,Yes,Yes,75465184,11971
PROP-9207,3,3,2226,Fully Furnished,Yes,Yes,No,Yes,Open,Yes,Yes,21988428,9878
PROP-9208,3,3,1638,Unfurnished,No,Yes,No,Yes,Covered,Yes,Yes,15692040,9580
PROP-9209,3,3,2139,Unfurnished,Yes,Yes,No,No,Covered,No,Yes,23024196,10764
PROP-9210,3,4,2115,Semi-Furnished,Yes,Yes,Yes,Yes,Open,Yes,Yes,25225605,11927
PROP-9211,3,4,1870,Fully Furnished,No,No,Yes,Yes,Open,Yes,Yes,22843920,12216
PROP-9212,2,2,1226,Unfurnished,No,Yes,No,No,Covered,Yes,No,10973926,8951
PROP-9213,2,2,1123,Unfurnished,No,Yes,Yes,Yes,Open,Yes,Yes,12201395,10865
PROP-9214,2,2,1250,Fully Furnished,No,Yes,No,No,Covered,Yes,Yes,14480000,11584
PROP-9215,2,3,1216,Semi-Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,11857216,9751
PROP-9216,4,5,4492,Fully Furnished,Yes,Yes,No,Yes,Covered,Yes,Yes,54025284,12027
PROP-9217,2,3,1108,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,11349244,10243
PROP-9218,3,4,2289,Fully Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,23789577,10393
PROP-9219,3,4,1923,Fully Furnished,No,Yes,No,No,Open,Yes,Yes,16820481,8747
PROP-9220,2,2,1246,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,12769008,10248
PROP-9221,3,4,2133,Unfurnished,No,Yes,Yes,Yes,Open,Yes,Yes,19638531,9207
PROP-9222,4,5,3384,Unfurnished,Yes,Yes,No,Yes,Covered,Yes,Yes,31643784,9351
PROP-9223,2,2,933,Unfurnished,No,Yes,No,Yes,Covered,Yes,Yes,6725997,7209
PROP-9224,3,3,2222,Unfurnished,No,No,No,No,Covered,Yes,Yes,22886600,10300
PROP-9225,3,3,1653,Semi-Furnished,No,Yes,No,No,Open,Yes,Yes,16586202,10034
PROP-9226,5,5,8033,Unfurnished,Yes,Yes,No,No,Covered,Yes,Yes,99898388,12436
PROP-9227,2,2,1242,Fully Furnished,No,Yes,No,Yes,Open,Yes,Yes,11015298,8869
PROP-9228,2,2,1062,Semi-Furnished,No,No,No,No,Open,Yes,Yes,11022498,10379
PROP-9229,5,5,7715,Semi-Furnished,Yes,Yes,No,No,Private Garage,Yes,Yes,96506935,12509
PROP-9230,2,3,1002,Semi-Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,9300564,9282
PROP-9231,3,3,2514,Fully Furnished,No,Yes,Yes,Yes,Open,Yes,Yes,26681082,10613
PROP-9232,3,3,2287,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,16889495,7385
PROP-9233,4,4,3733,Fully Furnished,Yes,Yes,No,No,Covered,Yes,Yes,42907102,11494
PROP-9234,3,3,1826,Fully Furnished,No,No,No,No,Open,No,Yes,15420570,8445
PROP-9235,4,4,3455,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,31260840,9048
PROP-9236,3,4,1753,Semi-Furnished,Yes,Yes,Yes,Yes,Open,Yes,Yes,15855885,9045
PROP-9237,2,3,1081,Unfurnished,Yes,Yes,Yes,Yes,Covered,Yes,Yes,11387254,10534
PROP-9238,1,2,768,Semi-Furnished,No,Yes,No,Yes,,Yes,Yes,5078016,6612
PROP-9239,1,2,503,Fully Furnished,No,No,No,No,Open,Yes,Yes,4748823,9441
PROP-9240,4,5,4004,Semi-Furnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,43767724,10931
PROP-9241,2,3,1191,Fully Furnished,No,Yes,Yes,Yes,Covered,Yes,Yes,10942908,9188
PROP-9242,2,3,1090,Unfurnished,No,Yes,No,No,Open,Yes,Yes,9611620,8818
PROP-9243,3,3,1783,Unfurnished,No,Yes,No,No,Open,Yes,Yes,14187331,7957
PROP-9244,2,3,1139,Unfurnished,No,Yes,Yes,Yes,Open,Yes,Yes,8828389,7751
PROP-9245,4,5,3257,Unfurnished,Yes,Yes,No,No,Covered,Yes,No,24333047,7471
PROP-9246,4,4,2908,Unfurnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,40235088,13836
PROP-9247,4,4,4485,Fully Furnished,Yes,Yes,No,Yes,Private Garage,Yes,Yes,55618485,12401
PROP-9248,4,4,3757,Unfurnished,Yes,Yes,Yes,Yes,Private Garage,Yes,Yes,43990713,11709
PROP-9249,3,4,1574,Semi-Furnished,No,Yes,No,No,Covered,Yes,Yes,15173360,9640
PROP-9250,4,5,3862,Fully Furnished,Yes,Yes,No,No,Private Garage,Yes,Yes,55728660,14430
PROP-9251,2,2,1403,Unfurnished,No,Yes,No,No,Covered,Yes,Yes,10283990,7330
PROP-9252,2,2,1229,Semi-Furnished,No,Yes,No,Yes,Covered,Yes,Yes,11042565,8985
PROP-9253,5,6,7035,Fully Furnished,Yes,Yes,No,No,Covered,Yes,Yes,70610295,10037
PROP-9254,4,5,3591,Semi-Furnished,Yes,Yes,No,No,Covered,Yes,Yes,39788280,11080
PROP-9255,1,2,655,Semi-Furnished,Yes,Yes,No,No,,Yes,Yes,5453530,8326
PROP-9256,3,3,2106,Fully Furnished,No,Yes,No,No,Open,Yes,Yes,17759898,8433
PROP-9257,2,2,1160,Unfurnished,No,Yes,Yes,Yes,Open,Yes,Yes,10924880,9418
PROP-9258,3,3,1796,Fully Furnished,Yes,Yes,No,No,Covered,Yes,Yes,24055624,13394
PROP-9259,4,4,4598,Semi-Furnished,Yes,No,No,Yes,Covered,Yes,Yes,40871622,8889
PROP-9260,3,3,1743,Semi-Furnished,No,Yes,No,No,Open,Yes,Yes,13170108,7556
PROP-9261,4,4,2817,Semi-Furnished,Yes,Yes,No,Yes,Private Garage,Yes,Yes,36257607,12871
